wavelength_nm,frequency_THz,power_dBm
1529.1029310088097,196.0577355,-75.125
1529.1039300931507,196.0576074,-75.50000000000001
1529.104929178797,196.0574793,-75.775
1529.105928265749,196.0573512,-75.85000000000001
1529.1069273540065,196.05722310000002,-75.47500000000002
1529.1079264435698,196.057095,-74.875
1529.1089255344386,196.0569669,-74.8
1529.1099246266128,196.0568388,-74.49999999999994
1529.1109237200928,196.0567107,-73.74999999999991
1529.111922814878,196.0565826,-73.99999999999997
1529.1129219109691,196.0564545,-74.75
1529.1139210083657,196.05632640000002,-74.6
1529.114920107068,196.0561983,-74.42499999999998
1529.1159192070759,196.0560702,-74.19999999999997
1529.1169183083891,196.0559421,-74.32499999999999
1529.1179174110082,196.055814,-74.625
1529.1189165149326,196.05568590000001,-74.625
1529.119915620163,196.0555578,-74.42499999999995
1529.1209147266989,196.0554297,-73.82499999999993
1529.12191383454,196.0553016,-73.37500000000001
1529.1229129436872,196.0551735,-73.0
1529.1239120541397,196.0550454,-72.85
1529.124911165898,196.0549173,-72.69999999999999
1529.1259102789618,196.05478920000002,-72.54999999999998
1529.1269093933313,196.0546611,-72.55
1529.1279085090066,196.054533,-72.625
1529.128907625987,196.0544049,-72.39999999999999
1529.1299067442735,196.0542768,-72.19999999999999
1529.1309058638653,196.0541487,-72.04999999999998
1529.131904984763,196.0540206,-72.0
1529.1329041069662,196.05389250000002,-72.0
1529.1339032304752,196.0537644,-71.85
1529.1349023552898,196.0536363,-71.75
1529.1359014814097,196.0535082,-71.75
1529.1369006088357,196.0533801,-71.60000000000001
1529.137899737567,196.05325200000001,-71.375
1529.1388988676042,196.0531239,-71.07499999999999
1529.1398979989472,196.0529958,-70.85
1529.1408971315952,196.0528677,-70.77499999999999
1529.1418962655496,196.0527396,-70.65
1529.142895400809,196.0526115,-70.5
1529.1438945373745,196.0524834,-70.35
1529.1448936752456,196.05235530000002,-70.225
1529.1458928144223,196.0522272,-70.14999999999999
1529.1468919549047,196.0520991,-69.92500000000001
1529.1478910966928,196.051971,-69.625
1529.1488902397866,196.0518429,-69.7
1529.1498893841858,196.0517148,-69.62499999999997
1529.150888529891,196.0515867,-69.24999999999996
1529.1518876769019,196.0514586,-68.97500000000001
1529.1528868252183,196.0513305,-68.75
1529.1538859748405,196.0512024,-68.6
1529.1548851257683,196.0510743,-68.5
1529.1558842780018,196.0509462,-68.5
1529.156883431541,196.05081810000001,-68.5
1529.157882586386,196.05069,-68.5
1529.1588817425368,196.0505619,-68.425
1529.1598808999931,196.0504338,-68.27499999999998
1529.1608800587553,196.0503057,-67.97499999999997
1529.1618792188228,196.0501776,-67.825
1529.1628783801964,196.0500495,-67.75
1529.1638775428755,196.04992140000002,-67.75
1529.1648767068605,196.0497933,-67.725
1529.1658758721512,196.0496652,-67.64999999999999
1529.1668750387473,196.0495371,-67.42500000000001
1529.1678742066495,196.049409,-67.125
1529.1688733758572,196.0492809,-66.82499999999999
1529.169872546371,196.0491528,-66.65
1529.1708717181903,196.0490247,-66.72500000000001
1529.1718708913152,196.0488966,-66.65
1529.1728700657459,196.0487685,-66.5
1529.1738692414822,196.0486404,-66.35
1529.1748684185245,196.0485123,-66.19999999999999
1529.1758675968724,196.04838420000002,-66.04999999999998
1529.1768667765261,196.0482561,-66.0
1529.1778659574857,196.048128,-66.0
1529.1788651397508,196.0479999,-65.77499999999999
1529.179864323322,196.0478718,-65.54999999999998
1529.1808635081984,196.0477437,-65.32499999999997
1529.181862694381,196.0476156,-65.15
1529.1828618818693,196.0474875,-65.0
1529.1838610706632,196.0473594,-64.85
1529.1848602607631,196.0472313,-64.75
1529.1858594521684,196.0471032,-64.75
1529.18685864488,196.0469751,-64.8
1529.187857838897,196.046847,-64.875
1529.1888570342198,196.0467189,-64.64999999999999
1529.1898562308486,196.0465908,-64.5
1529.190855428783,196.0464627,-64.5
1529.1918546280233,196.0463346,-64.4
1529.192853828569,196.0462065,-64.25
1529.193853030421,196.0460784,-64.1
1529.1948522335783,196.04595030000002,-64.0
1529.195851438042,196.0458222,-64.0
1529.196850643811,196.0456941,-63.95
1529.197849850886,196.045566,-63.875
1529.1988490592669,196.0454379,-63.64999999999999
1529.1998482689535,196.0453098,-63.55000000000001
1529.2008474799459,196.0451817,-63.70000000000002
1529.2018466922443,196.0450536,-63.650000000000006
