wavelength_nm,frequency_THz,power_dBm
1566.906,191.32765973198133,-55.6403678
1566.907,191.3275376266747,-54.1985534
1566.908,191.3274155215239,-55.2149207
1566.909,191.32729341652893,-54.5309359
1566.91,191.32717131168985,-55.7909379
1566.911,191.32704920700664,-54.8211441
1566.912,191.32692710247926,-55.9356939
1566.913,191.32680499810772,-54.5739964
1566.914,191.32668289389207,-55.2463286
1566.915,191.32656078983226,-53.870697
1566.916,191.32643868592828,-54.8222821
1566.917,191.32631658218014,-54.0489852
1566.9180000000001,191.32619447858787,-55.239135
1566.919,191.32607237515145,-53.9363705
1566.9199999999998,191.32595027187094,-54.2324581
1566.9209999999998,191.32582816874623,-53.2637634
1566.922,191.32570606577735,-53.956227
1566.923,191.32558396296434,-53.5212549
1566.924,191.32546186030717,-54.1751767
1566.925,191.32533975780586,-53.1952418
1566.9260000000002,191.3252176554604,-52.7672965
1566.9270000000001,191.32509555327078,-51.8964168
1566.9279999999999,191.3249734512371,-52.1941776
1566.9289999999999,191.32485134935916,-52.1515488
1566.93,191.32472924763707,-52.2110976
1566.931,191.32460714607086,-51.4554022
1566.932,191.32448504466052,-50.9649832
1566.933,191.324362943406,-50.8294676
1566.934,191.32424084230732,-50.7206767
1566.9350000000002,191.32411874136446,-50.8901172
1566.936,191.32399664057752,-50.344439
1566.937,191.32387453994642,-50.0137135
1566.9379999999999,191.32375243947112,-49.2038633
1566.939,191.32363033915166,-49.4285654
1566.94,191.32350823898807,-49.0468022
1566.941,191.32338613898034,-49.5480202
1566.942,191.32326403912845,-48.6294738
1566.943,191.32314193943236,-48.6744997
1566.944,191.32301983989214,-47.6409377
1566.945,191.3228977405078,-48.9882356
1566.946,191.32277564127926,-48.630895
1566.9470000000001,191.32265354220655,-49.3862046
1566.948,191.3225314432897,-48.1090454
1566.949,191.32240934452875,-48.4727473
1566.95,191.32228724592358,-47.3008552
1566.9509999999998,191.32216514747432,-48.2710912
1566.952,191.32204304918082,-47.4042045
1566.953,191.32192095104318,-48.2284084
1566.954,191.3217988530614,-46.8364822
1566.955,191.32167675523547,-47.3689273
1566.9560000000001,191.32155465756534,-46.3782097
1566.957,191.32143256005105,-47.5314682
1566.958,191.32131046269265,-46.5237798
1566.9589999999998,191.3211883654901,-47.2543272
1566.96,191.32106626844333,-45.9261118
1566.961,191.32094417155244,-46.5607016
1566.962,191.32082207481736,-45.6511124
1566.963,191.32069997823814,-46.8276544
1566.964,191.32057788181476,-44.9364847
1566.9650000000001,191.32045578554718,-45.2950473
1566.966,191.32033368943553,-43.9315856
1566.9669999999999,191.32021159347966,-44.700608
1566.9679999999998,191.3200894976796,-43.8008305
1566.969,191.31996740203536,-44.9954554
1566.97,191.319845306547,-43.7614577
1566.971,191.3197232112145,-44.2578853
1566.972,191.3196011160378,-43.0259432
1566.9730000000002,191.3194790210169,-43.7995268
1566.974,191.3193569261519,-43.1629154
1566.975,191.31923483144274,-44.0572275
1566.9759999999999,191.3191127368894,-42.9734802
1566.977,191.31899064249183,-43.1415987
1566.978,191.31886854825015,-42.2176503
1566.979,191.31874645416434,-42.8584885
1566.98,191.3186243602343,-42.444521
1566.981,191.31850226646014,-42.2034509
1566.982,191.31838017284178,-43.2067455
1566.983,191.31825807937932,-42.711121
1566.984,191.31813598607263,-42.7525577
1566.985,191.31801389292175,-41.7134933
1566.986,191.3178917999267,-42.4272746
1566.987,191.31776970708754,-41.8089406
1566.988,191.3176476144042,-42.7366625
1566.9889999999998,191.3175255218767,-41.3788112
1566.99,191.31740342950496,-41.7752746
1566.991,191.3172813372891,-40.4862465
1566.992,191.31715924522908,-41.4931556
1566.993,191.31703715332486,-40.643196
1566.9940000000001,191.31691506157645,-41.6059404
1566.9950000000001,191.3167929699839,-39.941202
1566.996,191.31667087854723,-40.6111615
1566.9969999999998,191.31654878726633,-39.2448245
1566.998,191.31642669614126,-40.7584457
1566.999,191.31630460517204,-39.4341915
1567.0,191.31618251435862,-40.5643481
1567.001,191.31606042370106,-38.0710074
1567.002,191.3159383331993,-38.102906
1567.0030000000002,191.31581624285337,-36.7342568
1567.0040000000001,191.31569415266324,-38.4528781
1567.0049999999999,191.31557206262903,-36.9532499
1567.0059999999999,191.3154499727506,-37.8354897
1567.007,191.31532788302795,-36.0631908
1567.008,191.31520579346116,-36.880167
1567.009,191.31508370405018,-35.7537381
1567.01,191.31496161479507,-37.3051663
1567.0110000000002,191.31483952569567,-35.6848501
1567.012,191.3147174367522,-36.1934974
1567.013,191.31459534796457,-34.7410925
1567.014,191.31447325933271,-35.5722787
1567.0149999999999,191.3143511708567,-34.6943885
1567.016,191.31422908253646,-35.7839359
1567.017,191.31410699437208,-34.3479912
1567.018,191.31398490636352,-34.5750967
1567.019,191.3138628185108,-33.4863278
1567.02,191.31374073081386,-35.3173451
1567.021,191.31361864327278,-34.9441985
1567.022,191.31349655588753,-35.6111004
1567.023,191.31337446865808,-34.4336785
1567.0240000000001,191.31325238158442,-34.3156534
1567.025,191.31313029466662,-33.6188433
1567.026,191.31300820790466,-33.9728687
1567.027,191.31288612129848,-33.8267431
1567.028,191.31276403484813,-33.2085741
1567.029,191.3126419485536,-34.0659617
